,Book_ID,Book Title,Book Subtitle,Book Author,Book Narrator,Audio Runtime,Audiobook_Type,Categories,Rating,Total No. of Ratings,Price
315,316,The Controlled Demolition of the American Empire,,Jeff Berwick,Patrick Smith,17 hrs and 26 mins,Unabridged Audiobook,Politics & Social Sciences,5,24.0,$24.95 
316,317,Traction,Get a Grip on Your Business,Gino Wickman,Kevin Pierce,6 hrs and 56 mins,Unabridged Audiobook,Business & Careers,4.7,4908.0,$19.95 
317,318,The Millionaire Next Door,The Surprising Secrets of America's Rich,Thomas J. Stanley Ph.D.,Cotter Smith,8 hrs and 16 mins,Unabridged Audiobook,Money & Finance,4.6,15685.0,$27.93 
318,319,How Not to Die,Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael Greger MD,Michael Greger MD,17 hrs and 9 mins,Unabridged Audiobook,Health & Wellness,4.8,11129.0,$34.99 
319,320,How to Avoid a Climate Disaster,The Solutions We Have and the Breakthroughs We Need,Bill Gates,Wil Wheaton,7 hrs and 11 mins,Unabridged Audiobook,Money & Finance,4.7,2695.0,$28.00 
320,321,A Radical Guide for Women with ADHD,"Embrace Neurodiversity, Live Boldly, and Break Through Barriers",Sari Solden MS,Marni Penning,6 hrs and 42 mins,Unabridged Audiobook,Health & Wellness,4.4,46.0,$17.49 
321,322,Talking to Strangers,What We Should Know About the People We Don't Know,Malcolm Gladwell,Malcolm Gladwell,8 hrs and 42 mins,Unabridged Audiobook,Health & Wellness,4.6,59589.0,$30.79 
322,323,The Handmaid's Tale,,Margaret Atwood,Claire Danes,11 hrs and 1 min,Unabridged Audiobook,Literature & Fiction,4.4,39237.0,$24.95 
323,324,Get Out of Your Head,Stopping the Spiral of Toxic Thoughts,Jennie Allen,Jennie Allen,5 hrs and 29 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.7,3150.0,$24.50 
324,325,A Very Punchable Face,A Memoir,Colin Jost,Colin Jost,7 hrs and 41 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,4713.0,$28.00 
325,326,Tie Me Down,,Melanie Harlow,Amanda Ronconi,8 hrs and 51 mins,Unabridged Audiobook,Romance,4.7,73.0,$19.95 
326,327,Slaughterhouse-Five,,Kurt Vonnegut,James Franco,5 hrs and 13 mins,Unabridged Audiobook,,4.3,14906.0,$19.95 
327,328,Way of the Wolf,"Straight Line Selling: Master the Art of Persuasion, Influence, and Success",Jordan Belfort,Jordan Belfort,7 hrs and 28 mins,Unabridged Audiobook,Business & Careers,4.6,7476.0,$20.99 
328,329,Emotional Intelligence 2.0,,Travis Bradberry,Tom Parks,4 hrs and 17 mins,Unabridged Audiobook,Business & Careers,4.2,5307.0,$19.99 
329,330,I Know Why the Caged Bird Sings,,Maya Angelou,Maya Angelou,10 hrs and 11 mins,Unabridged Audiobook,Biographies & Memoirs,4.7,6898.0,$28.00 
330,331,The Magic of Thinking Big,,David Schwartz,Jason Culp,9 hrs and 31 mins,Unabridged Audiobook,Business & Careers,4.7,6794.0,$20.99 
331,332,We Should All Be Millionaires,"A Woman’s Guide to Earning More, Building Wealth, and Gaining Economic Power",Rachel Rodgers,Rachel Rodgers,8 hrs and 40 mins,Unabridged Audiobook,Business & Careers,4.9,93.0,$23.95 
332,333,A Dubious Peace,"Destiny's Crucible, Book 7",Olan Thorensen,Jonathan Davis,22 hrs and 32 mins,Unabridged Audiobook,Science Fiction & Fantasy,,,$44.99 
333,334,Attached,The New Science of Adult Attachment and How It Can Help You Find - and Keep - Love,Amir Levine,Robert Petkoff,7 hrs and 6 mins,Unabridged Audiobook,Health & Wellness,4.8,2727.0,$24.50 
334,335,Blackout,How Black America Can Make Its Second Escape from the Democrat Plantation,Candace Owens,Candace Owens,6 hrs and 51 mins,Unabridged Audiobook,History,4.9,8156.0,$20.99 
335,336,Life After Death,,Sister Souljah,Nia Long,16 hrs and 1 min,Unabridged Audiobook,Literature & Fiction,3.3,2325.0,$28.34 
336,337,Abandoned in Death,,J. D. Robb,,13 hrs,,,Not rated yet,,$25.51 
337,338,Principles,Life and Work,Ray Dalio,Ray Dalio,16 hrs and 5 mins,Unabridged Audiobook,Business & Careers,4.6,16381.0,$28.34 
338,339,Where the Grass Is Green and the Girls Are Pretty,A Novel,Lauren Weisberger,Thérèse Plummer,11 hrs and 32 mins,Unabridged Audiobook,Literature & Fiction,4.2,82.0,$31.50 
339,340,We Few,US Special Forces in Vietnam,Nick Brokhausen,George Spelvin,14 hrs and 7 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,1488.0,$29.95 
340,341,The Eye of the World,Book One of The Wheel of Time,Robert Jordan,Kate Reading,29 hrs and 57 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.7,48759.0,$47.24 
341,342,A Clash of Kings,"A Song of Ice and Fire, Book 2",George R.R. Martin,Roy Dotrice,37 hrs and 12 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.8,79031.0,$63.00 
342,343,The Dark Tower IV,Wizard and Glass,Stephen King,Frank Muller,27 hrs and 35 mins,Unabridged Audiobook,Literature & Fiction,4.8,17453.0,$37.79 
343,344,The ONE Thing,The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,Timothy Miller,5 hrs and 28 mins,Unabridged Audiobook,Business & Careers,4.6,16521.0,$35.00 
344,345,The Autobiography of Kathryn Janeway,The History of the Captain Who Went Further Than Any Had Before,Una McCormack,Kate Mulgrew,8 hrs and 20 mins,Unabridged Audiobook,Literature & Fiction,4.8,316.0,$17.49 
345,346,The Warmth of Other Suns,The Epic Story of America's Great Migration,Isabel Wilkerson,Robin Miles,22 hrs and 40 mins,Unabridged Audiobook,History,4.8,9666.0,$39.95 
346,347,The Housewives,The Real Story Behind the Real Housewives,Brian Moylan,Brian Moylan,9 hrs and 20 mins,Unabridged Audiobook,Arts & Entertainment,3.9,18.0,$25.51 
347,348,The Farseer: Assassin's Apprentice,,Robin Hobb,Paul Boehmer,17 hrs and 18 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.4,11305.0,$27.99 
348,349,A Gentleman in Moscow,A Novel,Amor Towles,Nicholas Guy Smith,17 hrs and 52 mins,Unabridged Audiobook,Literature & Fiction,4.7,34927.0,$35.00 
349,350,Shadow of Night,A Novel,Deborah Harkness,Jennifer Ikeda,24 hrs and 25 mins,Unabridged Audiobook,Romance,4.6,26088.0,$45.50 
350,351,"Creativity, Inc.",Overcoming the Unseen Forces That Stand in the Way of True Inspiration,Ed Catmull,Peter Altschuler,12 hrs and 52 mins,Unabridged Audiobook,Business & Careers,4.7,11448.0,$24.50 
351,352,The Ultimate Retirement Guide for 50+,Winning Strategies to Make Your Money Last a Lifetime,Suze Orman,Suze Orman,12 hrs and 31 mins,Unabridged Audiobook,Money & Finance,4.8,358.0,$18.89 
352,353,A Court of Mist and Fury,,Sarah J. Maas,Jennifer Ikeda,23 hrs and 16 mins,Unabridged Audiobook,Teen,4.8,14098.0,$41.99 
353,354,A Court of Wings and Ruin,,Sarah J. Maas,Amanda Leigh Cobb,25 hrs and 9 mins,Unabridged Audiobook,Teen,4.7,10991.0,$31.49 
354,355,Troy,The Greek Myths Reimagined,Stephen Fry,Stephen Fry,11 hrs and 1 min,Unabridged Audiobook,History,,,$30.79 
355,356,The Hidden Habits of Genius,"Beyond Talent, IQ, and Grit - Unlocking the Secrets of Greatness",Craig Wright,Fred Sanders,10 hrs and 7 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,62.0,$30.79 
356,357,The Menopause Manifesto,Own Your Health with Facts and Feminism,Dr. Jen Gunter,Jen Gunter,13 hrs and 4 mins,Unabridged Audiobook,Politics & Social Sciences,5,1.0,$20.99 
357,358,Clarity and Connection,,Yung Pueblo,Yung Pueblo,4 hrs and 4 mins,Unabridged Audiobook,Literature & Fiction,4.9,16.0,$12.59 
358,359,White Wasteland,"A Black Autumn Saga (White Wasteland Series, Book 1)",Jeff Kirkham,Kevin Pierce,12 hrs and 50 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.7,38.0,$24.95 
359,360,A People's History of the United States,,Howard Zinn,Jeff Zinn,34 hrs and 8 mins,Unabridged Audiobook,History,4.4,7379.0,$56.95 
360,361,The Lies of Locke Lamora,"Gentleman Bastard, Book 1",Scott Lynch,Michael Page,22 hrs and 36 mins,Unabridged Audiobook,Literature & Fiction,4.7,2671.0,$42.00 
361,362,The Ride of a Lifetime,Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,Jim Frangione,8 hrs and 45 mins,Unabridged Audiobook,Arts & Entertainment,4.8,12153.0,$28.00 
362,363,Quit Like a Woman,The Radical Choice to Not Drink in a Culture Obsessed with Alcohol,Holly Whitaker,Holly Whitaker,10 hrs and 8 mins,Unabridged Audiobook,Health & Wellness,4.6,2435.0,$28.00 
363,364,The Dutch House,A Novel,Ann Patchett,Tom Hanks,9 hrs and 53 mins,Unabridged Audiobook,Literature & Fiction,4.6,42861.0,$30.79 
364,365,We Are Legion (We Are Bob),"Bobiverse, Book 1",Dennis E. Taylor,Ray Porter,9 hrs and 56 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.7,88331.0,$19.95 
365,366,Noob Game Plus,"Noobtown, Book 5",Ryan Rimmel,Johnathan McClain,17 hrs and 23 mins,Unabridged Audiobook,Literature & Fiction,4.9,488.0,$44.99 
366,367,The Whole-Brain Child,12 Revolutionary Strategies to Nurture Your Child's Developing Mind,Daniel J. Siegel MD,Daniel J. Siegel MD,6 hrs and 16 mins,Unabridged Audiobook,Health & Wellness,4.6,5171.0,$24.99 
367,368,Start with No,The Negotiating Tools that the Pros Don't Want You to Know,Jim Camp,Robert James Jordan,7 hrs and 58 mins,Unabridged Audiobook,Business & Careers,4.7,209.0,$24.50 
368,369,Golden Son,Book II of the Red Rising Trilogy,Pierce Brown,Tim Gerard Reynolds,19 hrs and 3 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.8,37123.0,$31.49 
369,370,The Tattooist of Auschwitz,A Novel,Heather Morris,Richard Armitage,7 hrs and 25 mins,Unabridged Audiobook,Literature & Fiction,4.8,24263.0,$23.95 
370,371,Jungle Up,"Thomas Prescott, Book 5",Nick Pirog,Johnny Heller,9 hrs and 52 mins,Unabridged Audiobook,Literature & Fiction,4.8,532.0,$24.47 
371,372,Radical Candor: Fully Revised & Updated Edition,Be a Kick-Ass Boss Without Losing Your Humanity,Kim Scott,Teri Schnaubelt,11 hrs and 56 mins,Unabridged Audiobook,Business & Careers,4.4,623.0,$32.19 
372,373,No Rules Rules,Netflix and the Culture of Reinvention,Reed Hastings,Jason Culp,9 hrs and 42 mins,Unabridged Audiobook,Arts & Entertainment,4.7,1694.0,$28.00 
373,374,Irreversible Damage,The Transgender Craze Seducing Our Daughters,Abigail Shrier,Pamela Almand,9 hrs and 1 min,Unabridged Audiobook,Politics & Social Sciences,4.8,1294.0,$24.47 
374,375,Piranesi,,Susanna Clarke,Chiwetel Ejiofor,6 hrs and 58 mins,Unabridged Audiobook,Literature & Fiction,4.6,2104.0,$16.35 
375,376,Mexican Gothic,,Silvia Moreno-Garcia,Frankie Corzo,10 hrs and 39 mins,Unabridged Audiobook,Literature & Fiction,4.1,5626.0,$28.00 
376,377,How to Talk So Kids Will Listen & Listen So Kids Will Talk,,Adele Faber,Susan Bennett,8 hrs and 24 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.7,3545.0,$22.63 
377,378,Between the World and Me,,Ta-Nehisi Coates,Ta-Nehisi Coates,3 hrs and 35 mins,Unabridged Audiobook,History,4.8,28196.0,$24.95 
378,379,Algorithms to Live By,The Computer Science of Human Decisions,Brian Christian,Brian Christian,11 hrs and 50 mins,Unabridged Audiobook,Business & Careers,4.4,15121.0,$29.99 
379,380,The Testaments,The Sequel to The Handmaid's Tale,Margaret Atwood,Derek Jacobi,13 hrs and 18 mins,Unabridged Audiobook,Literature & Fiction,4.7,18405.0,$31.50 
380,381,"Red, White & Royal Blue",A Novel,Casey McQuiston,Ramon de Ocampo,12 hrs and 15 mins,Unabridged Audiobook,LGBTQ+,4.6,6669.0,$25.51 
381,382,The Book of Longings,A Novel,Sue Monk Kidd,Mozhan Marnò,13 hrs and 27 mins,Unabridged Audiobook,Literature & Fiction,4.7,3582.0,$31.50 
382,383,Before We Were Yours,A Novel,Lisa Wingate,Emily Rankin,14 hrs and 29 mins,Unabridged Audiobook,Literature & Fiction,4.8,73837.0,$35.00 
383,384,The Knowing,11 Lessons to Understand the Quiet Urges of Your Soul,Saje Dyer,Saje Dyer,7 hrs and 28 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.7,28.0,$14.69 
384,385,The Book of Life,"All Souls, Book 3",Deborah Harkness,Jennifer Ikeda,23 hrs and 53 mins,Unabridged Audiobook,Literature & Fiction,4.7,23986.0,$45.50 
385,386,A River Runs Through It and Other Stories,,Norman Maclean,David Manis,8 hrs and 1 min,Unabridged Audiobook,Literature & Fiction,4.5,1307.0,$18.86 
386,387,Radical Acceptance,Embracing Your Life with the Heart of a Buddha,Tara Brach,Cassandra Campbell,12 hrs and 15 mins,Unabridged Audiobook,Health & Wellness,4.4,3773.0,$27.99 
387,388,Agent Sonya,Moscow's Most Daring Wartime Spy,Ben Macintyre,Ben Macintyre,14 hrs and 14 mins,Unabridged Audiobook,Biographies & Memoirs,4.6,365.0,$28.00 
388,389,Lord Foul’s Bane,"The Chronicles of Thomas Covenant the Unbeliever, Book 1",Stephen R. Donaldson,Scott Brick,19 hrs and 37 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.4,219.0,$31.47 
389,390,Rainbow Six,,Tom Clancy,Michael Prichard,35 hrs and 55 mins,Unabridged Audiobook,Literature & Fiction,4.6,8302.0,$31.50 
390,391,The Hunting Wives,,May Cobb,Erin Bennett,10 hrs and 22 mins,Unabridged Audiobook,Literature & Fiction,3.6,92.0,$28.00 
391,392,Artemis,,Andy Weir,Rosario Dawson,8 hrs and 57 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.4,75571.0,$29.95 
392,393,How Y'all Doing?,Misadventures and Mischief from a Life Well Lived,Leslie Jordan,Leslie Jordan,4 hrs and 14 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,708.0,$20.52 
393,394,Circe,,Madeline Miller,Perdita Weeks,12 hrs and 8 mins,Unabridged Audiobook,Literature & Fiction,4.7,40228.0,$29.65 
394,395,Mythos,,Stephen Fry,Stephen Fry,15 hrs and 26 mins,Unabridged Audiobook,History,4.8,7788.0,$29.61 
395,396,Beautiful Creatures,"Beautiful Creatures, Book 1",Kami Garcia,Kevin T. Collins,17 hrs and 33 mins,Unabridged Audiobook,Teen,4.1,5361.0,$17.09 
396,397,The Henna Artist,A Novel,Alka Joshi,Sneha Mathan,10 hrs and 56 mins,Unabridged Audiobook,Literature & Fiction,4.7,9604.0,$30.79 
397,398,Down the Rabbit Hole,Curious Adventures and Cautionary Tales of a Former Playboy Bunny,Holly Madison,Holly Madison,10 hrs and 51 mins,Unabridged Audiobook,Biographies & Memoirs,4.3,9516.0,$30.79 
398,399,Layered Money,From Gold and Dollars to Bitcoin and Central Bank Digital Currencies,Nik Bhatia,Guy Swann,4 hrs and 16 mins,Unabridged Audiobook,Money & Finance,4.9,139.0,$14.95 
399,400,How to American,An Immigrant's Guide to Disappointing Your Parents,Jimmy O. Yang,Jimmy O. Yang,6 hrs and 5 mins,Unabridged Audiobook,Biographies & Memoirs,4.6,2512.0,$28.50 
400,401,Pryor Convictions,And Other Life Sentences,Richard Pryor,JD Jackson,7 hrs and 41 mins,Unabridged Audiobook,Biographies & Memoirs,4.6,574.0,$20.99 
401,402,This Is Your Brain on Food,"An Indispensable Guide to the Surprising Foods That Fight Depression, Anxiety, PTSD, OCD, ADHD, and More",Uma Naidoo MD,Uma Naidoo MD,7 hrs and 49 mins,Unabridged Audiobook,Health & Wellness,4.5,403.0,$29.65 
402,403,Lifespan,Why We Age - and Why We Don't Have To,David A. Sinclair PhD,David A. Sinclair PhD,11 hrs and 55 mins,Unabridged Audiobook,Health & Wellness,4.7,4330.0,$22.67 
403,404,Fast. Feast. Repeat.,"The Comprehensive Guide to Delay, Don't Deny® Intermittent Fasting - Including the 28-Day FAST Start",Gin Stephens,Brittany Pressley,11 hrs and 19 mins,Unabridged Audiobook,Health & Wellness,4.9,1028.0,$25.51 
404,405,Indistractable,How to Control Your Attention and Choose Your Life,Nir Eyal,Nir Eyal,5 hrs and 15 mins,Unabridged Audiobook,Business & Careers,4.5,6668.0,$29.95 
405,406,Becoming Bulletproof,"Protect Yourself, Read People, Influence Situations, and Live Fearlessly",Evy Poumpouras,Evy Poumpouras,10 hrs and 20 mins,Unabridged Audiobook,Business & Careers,4.7,1708.0,$22.67 
406,407,A Touch of Darkness,"Hades & Persephone Series, Book 1",Scarlett St. Clair,Meg Sylvan,11 hrs and 6 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.6,754.0,$17.49 
407,408,Little Secrets,A Novel,Jennifer Hillier,Kirsten Potter,10 hrs and 33 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.7,3024.0,$32.19 
408,409,The Joy Luck Club,,Amy Tan,Gwendoline Yeo,9 hrs and 5 mins,Unabridged Audiobook,Literature & Fiction,4.4,2285.0,$24.47 
409,410,Fortitude,American Resilience in the Era of Outrage,Dan Crenshaw,Dan Crenshaw,8 hrs and 15 mins,Unabridged Audiobook,Biographies & Memoirs,4.9,12264.0,$28.50 
410,411,Surrounded by Idiots,The Four Types of Human Behavior and How to Effectively Communicate with Each in Business (and in Life),Thomas Erikson,David John,10 hrs and 29 mins,Unabridged Audiobook,Business & Careers,4.5,374.0,$25.51 
411,412,Four Hundred Souls,"A Community History of African America, 1619-2019",Ibram X. Kendi - editor,full cast,14 hrs and 2 mins,Unabridged Audiobook,History,4.9,509.0,$31.50 
412,413,"Empath and Narcissist: Survival Guide for Empaths, Become a Healer Instead of Absorbing Negative Energies",Complete Guide to Learn Psychics and Empaths Secrets,Jackson Miller,Alex Rees,4 hrs and 13 mins,Unabridged Audiobook,Health & Wellness,4,52.0,$14.95 
413,414,An Isolated Incident,"A Scottish Murder Mystery (DCI Logan Crime Thrillers, Book 11)",JD Kirk,Angus King,12 hrs and 52 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",5,1.0,$24.95 
414,415,No More Mr. Nice Guy,"A Proven Plan for Getting What You Want in Love, Sex and Life (Updated)",Dr Robert Glover,Dr Robert Glover,6 hrs and 49 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.8,3924.0,$27.99 
415,416,The Night Circus,,Erin Morgenstern,Jim Dale,13 hrs and 40 mins,Unabridged Audiobook,Literature & Fiction,4.4,24377.0,$31.50 
416,417,Leaders Eat Last,Why Some Teams Pull Together and Others Don't,Simon Sinek,Simon Sinek,9 hrs and 23 mins,Unabridged Audiobook,Business & Careers,4.7,1420.0,$28.00 
417,418,The Three-Body Problem,,Cixin Liu,Luke Daniels,13 hrs and 26 mins,Unabridged Audiobook,Literature & Fiction,4.4,17574.0,$25.50 
418,419,This Naked Mind,"Control Alcohol, Find Freedom, Discover Happiness, and Change Your Life",Annie Grace,Annie Grace,7 hrs and 28 mins,Unabridged Audiobook,Health & Wellness,4.7,4723.0,$28.00 
419,420,The 7 Habits of Highly Effective People,30th Anniversary Edition,Stephen R. Covey,Stephen R. Covey,15 hrs and 7 mins,Unabridged Audiobook,Business & Careers,4.9,488.0,$28.34 
420,421,I Will Teach You to Be Rich,No Guilt. No Excuses. No B.S. Just a 6-Week Program That Works (Second Edition),Ramit Sethi,Ramit Sethi,12 hrs and 8 mins,Unabridged Audiobook,Money & Finance,4.7,5827.0,$34.95 
421,422,The Moon Is a Harsh Mistress,,Robert A. Heinlein,Lloyd James,14 hrs and 12 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.5,9149.0,$24.99 
422,423,You Will Get Through This Night,,Daniel Howell,Daniel Howell,6 hrs and 55 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.9,56.0,$30.79 
423,424,The Great Mortality,"An Intimate History of the Black Death, the Most Devastating Plague of All Time",John Kelly,Matthew Lloyd Davies,12 hrs and 55 mins,Unabridged Audiobook,History,4.4,356.0,$29.95 
424,425,The Alice Network,A Novel,Kate Quinn,Saskia Maarleveld,15 hrs and 7 mins,Unabridged Audiobook,Literature & Fiction,4.6,40242.0,$34.22 
425,426,The Lost Hero,"The Heroes of Olympus, Book One      ",Rick Riordan,Joshua Swanson,16 hrs and 34 mins,Unabridged Audiobook,Children's Audiobooks,4.7,9639.0,$35.93 
426,427,"Own the Day, Own Your Life","Optimized Practices for Waking, Working, Learning, Eating, Training, Playing, Sleeping, and Sex",Aubrey Marcus,Aubrey Marcus,11 hrs and 5 mins,Unabridged Audiobook,Health & Wellness,4.7,8945.0,$30.79 
427,428,"Harry Potter and the Order of the Phoenix, Book 5",,J.K. Rowling,Jim Dale,26 hrs and 29 mins,Unabridged Audiobook,Children's Audiobooks,4.9,77565.0,$44.99 
428,429,The Dark Tower II,The Drawing of the Three,Stephen King,Frank Muller,12 hrs and 47 mins,Unabridged Audiobook,Literature & Fiction,4.8,21102.0,$22.67 
429,430,Ocean Prey,,John Sandford,Richard Ferrone,12 hrs and 35 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.7,2645.0,$28.00 
430,431,Outliers,The Story of Success,Malcolm Gladwell,Malcolm Gladwell,7 hrs and 18 mins,Unabridged Audiobook,Business & Careers,4.7,42313.0,$30.79 
431,432,The Squire,"Blood of Kings, Book 1",Duncan M. Hamilton,John Lee,13 hrs and 15 mins,Unabridged Audiobook,Literature & Fiction,4.7,155.0,$34.95 
432,433,Pretty Things,A Novel,Janelle Brown,Julia Whelan,16 hrs and 6 mins,Unabridged Audiobook,Literature & Fiction,4.5,16634.0,$31.50 
433,434,Broken (in the Best Possible Way),,Jenny Lawson,Jenny Lawson,8 hrs and 18 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,964.0,$27.99 
434,435,Deacon King Kong,A Novel,James McBride,Dominic Hoffman,14 hrs and 5 mins,Unabridged Audiobook,Literature & Fiction,4.7,3790.0,$31.50 
435,436,True Believer,"A Novel (Terminal List, Book 2)",Jack Carr,Ray Porter,15 hrs and 44 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.8,12251.0,$28.34 
436,437,Savage Son,,Jack Carr,Ray Porter,12 hrs and 56 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.9,10733.0,$27.99 
437,438,Everything Is F*cked,A Book About Hope,Mark Manson,Mark Manson,7 hrs and 2 mins,Unabridged Audiobook,Literature & Fiction,4.4,6007.0,$23.95 
438,439,Madam Speaker,Nancy Pelosi and the Lessons of Power,Susan Page,Susan Page,13 hrs and 42 mins,Unabridged Audiobook,Biographies & Memoirs,4.7,100.0,$29.65 
439,440,The 10X Rule,The Only Difference Between Success and Failure,Grant Cardone,Grant Cardone,7 hrs and 24 mins,Unabridged Audiobook,Business & Careers,4.6,40084.0,$20.99 
440,441,Hill Women,Finding Family and a Way Forward in the Appalachian Mountains,Cassie Chambers,Cassie Chambers,7 hrs and 31 mins,Unabridged Audiobook,Biographies & Memoirs,4.4,260.0,$24.50 
441,442,Empath and Psychic Abilities,"A Survival Guide for Highly Sensitive People. Guided Meditations to Open Your Third Eye, Expand Mind Power, Develop Intuition, Telepathy, and Clairvoyance",Mindfulness Lodge,Lizzie Richards,11 hrs and 48 mins,Unabridged Audiobook,Religion & Spirituality,4.8,110.0,$24.95 
442,443,Unstoppable,Siggi B. Wilzig’s Astonishing Journey from Auschwitz Survivor and Penniless Immigrant to Wall Street Legend,Joshua M. Greene,Michael Orenstein,9 hrs and 4 mins,Unabridged Audiobook,Biographies & Memoirs,4.5,19.0,$13.99 
443,444,Magical Midlife Meeting,"A Paranormal Women's Fiction Novel (Leveling Up, Book 5)",K.F. Breene,Nicole Poole,7 hrs and 52 mins,Unabridged Audiobook,Romance,4.9,720.0,$19.95 
444,445,Dungeon Duel,"A litRPG Adventure (The Rogue Dungeon, Book 5)",James Hunter,Nick Podehl,9 hrs and 32 mins,Unabridged Audiobook,Teen,4.8,661.0,$19.95 
445,446,Pachinko,,Min Jin Lee,Allison Hiroto,18 hrs and 16 mins,Unabridged Audiobook,Literature & Fiction,4.3,10097.0,$29.65 
446,447,The Choice,Escaping the Past and Embracing the Possible,Dr. Edith Eva Eger,Tovah Feldshuh,12 hrs and 26 mins,Unabridged Audiobook,History,4.9,3198.0,$17.00 
447,448,The Giver,,Lois Lowry,Ron Rifkin,4 hrs and 49 mins,Unabridged Audiobook,Teen,4.4,11683.0,$21.27 
448,449,One Second After,,William R. Forstchen,Joe Barrett,13 hrs and 17 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.5,23905.0,$23.07 
449,450,The Ethical Slut,"A Practical Guide to Polyamory, Open Relationships, & Other Adventures",Janet W. Hardy,Janet W. Hardy,10 hrs and 21 mins,Unabridged Audiobook,Erotica,4.6,3034.0,$24.95 
450,451,The Goal,A Process of Ongoing Improvement - 30th Anniversary Edition,Eliyahu M. Goldratt,uncredited,11 hrs and 45 mins,Unabridged Audiobook,Business & Careers,4.6,4954.0,$27.97 
451,452,The Outsiders,,S. E. Hinton,Jim Fyfe,5 hrs and 8 mins,Unabridged Audiobook,Teen,4.6,6993.0,$19.60 
452,453,Getting to Yes,Negotiating Agreement Without Giving In,Roger Fisher,Dennis Boutsikaris,6 hrs and 17 mins,Unabridged Audiobook,Business & Careers,4.4,5171.0,$20.99 
453,454,Year of Yes,"How to Dance It Out, Stand in the Sun and Be Your Own Person",Shonda Rhimes,Shonda Rhimes,7 hrs and 4 mins,Unabridged Audiobook,Biographies & Memoirs,4.7,21741.0,$20.99 
454,455,The Creature from Jekyll Island,A Second Look at the Federal Reserve,G. Edward Griffin,Mark Bramhall,24 hrs and 21 mins,Unabridged Audiobook,Money & Finance,4.7,3760.0,$29.95 
455,456,Catch-22,,Joseph Heller,Jay O. Sanders,19 hrs and 58 mins,Unabridged Audiobook,Literature & Fiction,4.3,2717.0,$28.34 
456,457,Steve Jobs,,Walter Isaacson,Dylan Baker,25 hrs and 18 mins,Unabridged Audiobook,Biographies & Memoirs,4.7,30049.0,$34.99 
457,458,Nine Perfect Strangers,,Liane Moriarty,Caroline Lee,16 hrs and 18 mins,Unabridged Audiobook,Literature & Fiction,4.1,13390.0,$31.18 
458,459,Just Mercy (Movie Tie-In Edition),A Story of Justice and Redemption,Bryan Stevenson,Bryan Stevenson,11 hrs and 11 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,16176.0,$28.00 
459,460,The Couple Next Door,A Novel,Shari Lapena,Kirsten Potter,8 hrs and 40 mins,Unabridged Audiobook,Literature & Fiction,4.2,17002.0,$24.50 
460,461,Drive,The Surprising Truth About What Motivates Us,Daniel H. Pink,Daniel H. Pink,5 hrs and 53 mins,Unabridged Audiobook,Business & Careers,4.4,6751.0,$24.50 
461,462,Endurance,Shackleton's Incredible Voyage,Alfred Lansing,Simon Prebble,10 hrs and 20 mins,Unabridged Audiobook,History,4.7,18764.0,$24.95 
462,463,Holes,,Louis Sachar,Kerry Beyer,4 hrs and 30 mins,Unabridged Audiobook,Children's Audiobooks,4.6,3246.0,$21.00 
463,464,The Immortal Life of Henrietta Lacks,,Rebecca Skloot,Cassandra Campbell,12 hrs and 30 mins,Unabridged Audiobook,Biographies & Memoirs,4.6,14426.0,$31.93 
464,465,The Ocean at the End of the Lane,A Novel,Neil Gaiman,Neil Gaiman,5 hrs and 48 mins,Unabridged Audiobook,Literature & Fiction,4.4,22287.0,$23.95 
465,466,Shadows of Self,,Brandon Sanderson,Michael Kramer,12 hrs and 37 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.7,22342.0,$27.99 
